candidate_id,ticker,owner_name,title,entry_trade_day,transaction_date,trade_date,buy_datetime,buy_price,last_price,value,live_entry_bucket,prev_regular_close,live_gap_to_entry_pct,current_prod4_score,baseline_replay_score,gap_feature_replay_score,gap_score_delta,current_prod4_rank,baseline_replay_rank,gap_feature_replay_rank,rank_change_gap_vs_baseline,actually_traded,actual_status,sleeve_id
LAW|2026-03-02|2026-03-08 14:52:23,LAW,Hill Scott A,Dir,2026-03-09,2026-03-04 16:18:00,2026-03-02 00:00:00,2026-03-09 09:30:00,4.8,$3.38,"+$169,246",open,4.79,0.20876826722338038,1.0432894327740685,-0.2416331594175415,0.1879287735547845,0.429561932972326,19,39,39,0,False,,
THRY|2026-03-04|2026-03-08 14:52:23,THRY,Slater John,Dir,2026-03-09,2026-03-06 11:31:29,2026-03-04 00:00:00,2026-03-09 09:30:00,3.18,$3.24,"+$9,720",intraday,3.18,0.0,0.7378042873182493,-0.046944741426233214,-0.03133334582873562,0.015611395597497593,35,38,40,-2,False,,
BRCC|2026-03-05|2026-03-09 21:52:47,BRCC,Taslitz Steven,Dir,2026-03-10,2026-03-09 17:08:04,2026-03-05 00:00:00,2026-03-10 09:30:00,0.8988,$0.75,"+$223,500",open,0.8923,0.7284545556427213,1.098951198105709,1.911996654636029,1.6301648968126632,-0.2818317578233658,6,1,1,0,True,filled,sleeve_0
ADV|2026-03-05|2026-03-09 21:52:47,ADV,Peacock David A,CEO,2026-03-10,2026-03-09 16:30:20,2026-03-05 00:00:00,2026-03-10 09:30:00,0.65,$0.64,"+$128,780",open,0.6317,2.8969447522558145,1.5199164581985398,1.1209276598372808,1.3596301283336798,0.23870246849639898,4,4,2,2,True,filled,sleeve_0
EHTH|2026-03-06|2026-03-09 21:52:47,EHTH,Dolan John Joseph,CFO,2026-03-10,2026-03-09 16:03:37,2026-03-06 00:00:00,2026-03-10 09:30:00,1.52,$1.53,"+$38,190",open,1.49,2.0134228187919545,2.102189001141749,0.9072383025396394,1.1057148598666782,0.19847655732703873,1,9,3,6,True,filled,sleeve_0
COTY|2026-03-06|2026-03-09 23:52:47,COTY,Von Bretten Gordon,Pres - Consumer Beauty,2026-03-10,2026-03-09 18:12:08,2026-03-06 00:00:00,2026-03-10 09:30:00,2.42,$2.41,"+$200,287",open,2.3,5.21739130434784,1.784027787455046,1.298750584743146,1.0646080479114552,-0.23414253683169073,2,2,4,-2,True,filled,sleeve_0
EOSE|2026-03-09|2026-03-10 13:02:21,EOSE,Urban David,Dir,2026-03-10,2026-03-10 08:52:43,2026-03-09 00:00:00,2026-03-10 09:30:00,6.22,$6.16,"+$100,100",open,6.17,0.8103727714748654,0.92750516047528,1.0921992814915544,1.0375194658590896,-0.05467981563246482,11,6,5,1,True,filled,sleeve_0
TTEC|2026-03-05|2026-03-09 23:52:47,TTEC,Holtzman Marc,Dir,2026-03-10,2026-03-09 18:53:38,2026-03-05 00:00:00,2026-03-10 09:30:00,2.66,$2.55,"+$186,215",open,2.49,6.827309236947787,0.9536720213002484,0.9573741414445534,0.9561342933538747,-0.0012398480906786746,10,7,6,1,True,filled,sleeve_0
TKNO|2026-03-06|2026-03-09 21:52:47,TKNO,Lowell Matthew,CFO,2026-03-10,2026-03-09 16:30:28,2026-03-06 00:00:00,2026-03-10 09:30:00,2.26,$2.19,"+$87,616",open,2.12,6.603773584905648,1.2610211680740937,1.2358478243939035,0.9521564522652917,-0.28369137212861184,5,3,7,-4,True,filled,sleeve_0
GO|2026-03-06|2026-03-09 23:52:47,GO,Bachman John E.,Dir,2026-03-10,2026-03-09 18:08:39,2026-03-06 00:00:00,2026-03-10 09:30:00,6.11,$6.46,"+$103,314",open,6.08,0.49342105263159297,1.543135035501188,0.9392772777036941,0.9485502067509403,0.009272929047246192,3,8,8,0,True,filled,sleeve_0
RC|2026-03-05|2026-03-09 21:52:47,RC,Nathan Gilbert E,Dir,2026-03-10,2026-03-09 17:16:31,2026-03-05 00:00:00,2026-03-10 09:30:00,1.91,$1.97,"+$78,610",open,1.85,3.2432432432432323,1.0303005620257546,1.095211056474359,0.8289196576300504,-0.2662913988443085,8,5,9,-4,True,filled,sleeve_0
FTEK|2026-03-06|2026-03-09 21:52:47,FTEK,Arnone Vincent J,"Pres, CEO",2026-03-10,2026-03-09 16:05:14,2026-03-06 00:00:00,2026-03-10 09:30:00,1.25,$1.24,"+$12,400",open,1.23,1.6260162601626105,1.0320856856625702,0.7804421145876796,0.7687534811292488,-0.011688633458430853,7,10,10,0,True,filled,sleeve_0
MNTR|2026-03-05|2026-03-09 21:52:47,MNTR,Billingsley Chester,"CEO, 10%",2026-03-10,2026-03-09 16:27:42,2026-03-05 00:00:00,2026-03-10 09:30:00,0.077,$0.08,+$145,open,0.08095,-4.750714087010639,1.01187946788822,0.17166343034807804,0.6428345859458142,0.47117115559773615,9,11,11,0,False,,
MNKD|2026-03-10|2026-03-11 01:52:48,MNKD,Castagna Michael,CEO,2026-03-11,2026-03-10 21:30:02,2026-03-10 00:00:00,2026-03-11 09:30:00,2.73,$2.59,"+$259,000",open,2.61,4.597701149425282,1.7114775036777907,1.360174016990644,1.434054536522384,0.07388051953174002,2,2,1,1,True,filled,sleeve_1
SSII|2026-03-06|2026-03-10 23:52:49,SSII,Adams Timothy P.,Dir,2026-03-11,2026-03-10 18:04:41,2026-03-06 00:00:00,2026-03-11 09:30:00,4.9,$3.99,"+$1,197,000",open,4.42,10.859728506787336,2.00086231757288,1.7111234425465496,1.1009499657277437,-0.6101734768188058,1,1,2,-1,True,filled,sleeve_1
TDUP|2026-03-10|2026-03-10 23:52:49,TDUP,Nakache Patricia,Dir,2026-03-11,2026-03-10 18:24:14,2026-03-10 00:00:00,2026-03-11 09:30:00,3.68,$3.73,"+$49,076",open,3.73,-1.3404825737265313,0.7332887861173574,0.927754827574768,1.0140125417535468,0.08625771417877881,7,4,3,1,True,partially_filled,sleeve_1
CJMB|2026-03-06|2026-03-10 23:52:49,CJMB,Croyle David J,"Chief Medical Officer, 10%",2026-03-11,2026-03-10 19:16:06,2026-03-06 00:00:00,2026-03-11 09:30:00,1.88,$1.76,"+$26,086",open,1.76,6.818181818181812,0.8756232986195717,1.0217965494364245,0.7654798867451345,-0.25631666269129005,5,3,4,-1,True,partially_filled,sleeve_1
ADV|2026-03-06|2026-03-10 21:52:47,ADV,Growe Christopher,CFO,2026-03-11,2026-03-10 16:30:07,2026-03-06 00:00:00,2026-03-11 09:30:00,0.71,$0.60,"+$30,240",open,0.6733,5.450764889350945,1.6111774628611395,0.7893379749260315,0.7645412188606939,-0.0247967560653376,3,5,5,0,True,filled,sleeve_1
ENTX|2026-03-09|2026-03-11 12:52:48,ENTX,Germano Geno J,Dir,2026-03-11,2026-03-11 08:30:10,2026-03-09 00:00:00,2026-03-11 09:30:00,1.51,$1.30,"+$26,000",open,1.49,1.342281879194629,0.8493010198985794,0.7500593841385639,0.7603717606667351,0.010312376528171185,6,6,6,0,True,partially_filled,sleeve_1
SSP|2026-03-06|2026-03-10 21:52:47,SSP,Scripps Elizabeth,10%,2026-03-11,2026-03-10 17:00:05,2026-03-06 00:00:00,2026-03-11 09:30:00,4.74,$4.64,"+$14,287",open,4.4,7.727272727272716,0.888399520343718,0.16760626212311486,-0.22675522935996684,-0.3943614914830817,4,7,7,0,True,partially_filled,sleeve_1
