ticker,sector,market_type,is_tradable
APG,Consumer Discretionary,NYSE,1
APGE,Health Care,NASDAQ,1
APGI,Unknown,NON_TRADABLE,0
APH,Information Technology,NYSE,1
APHB,Unknown,NON_TRADABLE,0
APHP,Unknown,OTC,1
API,Unknown,NON_TRADABLE,0
APIC,Unknown,NON_TRADABLE,0
APL,Unknown,NON_TRADABLE,0
APLD,Information Technology,NASDAQ,1
APLE,Real Estate,NYSE,1
APLL,Unknown,NON_TRADABLE,0
APLP,Unknown,NON_TRADABLE,0
APLS,Health Care,NASDAQ,1
APLT,Unknown,NON_TRADABLE,0
APMIU,Unknown,NON_TRADABLE,0
APNT,Unknown,NON_TRADABLE,0
APO,Financials,NYSE,1
APOG,Materials,NON_TRADABLE,0
APP,Information Technology,NASDAQ,1
APPA,Unknown,NON_TRADABLE,0
APPF,Information Technology,NASDAQ,1
APPH,Unknown,NON_TRADABLE,0
APPN,Information Technology,NASDAQ,1
APPS,Real Estate,NASDAQ,1
APPY,Unknown,NON_TRADABLE,0
APRE,Health Care,NASDAQ,1
APRI,Unknown,NON_TRADABLE,0
APRN,Unknown,NON_TRADABLE,0
APT,Health Care,NON_TRADABLE,0
APTO,Unknown,NON_TRADABLE,0
APTS,Unknown,NON_TRADABLE,0
APTV,Consumer Discretionary,NYSE,1
APTX,Unknown,NON_TRADABLE,0
APU,Unknown,NON_TRADABLE,0
APUS,Health Care,AMEX,1
APVO,Health Care,NASDAQ,1
APXTU,Real Estate,NON_TRADABLE,0
APY,Unknown,NON_TRADABLE,0
APYP,Unknown,NON_TRADABLE,0
APYX,Health Care,NASDAQ,1
AQB,Consumer Staples,NASDAQ,1
AQMS,Materials,NASDAQ,1
AQSP,Unknown,NON_TRADABLE,0
AQST,Health Care,NASDAQ,1
AQUA,Unknown,NON_TRADABLE,0
AQXP,Unknown,NON_TRADABLE,0
AR,Energy,NYSE,1
ARA,Unknown,NON_TRADABLE,0
ARAI,Consumer Discretionary,NASDAQ,1
ARAV,Unknown,NON_TRADABLE,0
ARAY,Health Care,NASDAQ,1
ARC,Unknown,NON_TRADABLE,0
ARCB,Industrials,NASDAQ,1
ARCH,Unknown,NON_TRADABLE,0
ARCI,Unknown,NON_TRADABLE,0
ARCK,Unknown,NON_TRADABLE,0
ARCP,Unknown,NON_TRADABLE,0
ARCPP,Unknown,NON_TRADABLE,0
ARCT,Health Care,NASDAQ,1
ARCW,Unknown,NON_TRADABLE,0
ARCX,Unknown,NON_TRADABLE,0
ARDC,Unknown,NYSE,1
ARDM,Unknown,NON_TRADABLE,0
ARDS,Unknown,OTC,1
ARDT,Health Care,NYSE,1
ARDX,Health Care,NASDAQ,1
ARE,Real Estate,NYSE,1
AREB,Industrials,NASDAQ,1
AREC,Materials,NASDAQ,1
AREN,Communication Services,AMEX,1
ARES,Financials,NYSE,1
AREX,Unknown,NON_TRADABLE,0
ARGO,Unknown,NON_TRADABLE,0
ARGS,Unknown,NON_TRADABLE,0
ARHS,Consumer Discretionary,NASDAQ,1
ARI,Real Estate,NYSE,1
ARIA,Unknown,NON_TRADABLE,0
ARIS,Unknown,NYSE,1
ARIZ,Unknown,NON_TRADABLE,0
ARKR,Consumer Discretionary,NASDAQ,1
ARL,Real Estate,NYSE,1
ARLO,Information Technology,NYSE,1
ARLP,Materials,NASDAQ,1
ARLZ,Unknown,NON_TRADABLE,0
ARMK,Consumer Discretionary,NYSE,1
ARMP,Health Care,AMEX,1
ARNA,Unknown,NON_TRADABLE,0
ARNC,Unknown,NON_TRADABLE,0
ARNI,Unknown,NON_TRADABLE,0
ARO,Unknown,NON_TRADABLE,0
AROC,Utilities,NYSE,1
AROCU,Unknown,NON_TRADABLE,0
AROW,Financials,NASDAQ,1
ARP,Unknown,NON_TRADABLE,0
ARPI,Unknown,NON_TRADABLE,0
ARPO,Unknown,NON_TRADABLE,0
ARQ,Materials,NASDAQ,1
ARQL,Unknown,NON_TRADABLE,0
ARQT,Health Care,NASDAQ,1
ARR,Real Estate,NYSE,1
ARRS,Unknown,NON_TRADABLE,0
ARRY,Industrials,NASDAQ,1
ARSD,Unknown,NON_TRADABLE,0
ARTL,Health Care,NASDAQ,1
ARTNA,Utilities,NASDAQ,1
ARTV,Health Care,NASDAQ,1
ARTW,Industrials,NASDAQ,1
ARTX,Unknown,NON_TRADABLE,0
ARVN,Health Care,NASDAQ,1
ARW,Industrials,NYSE,1
ARWA,Unknown,NON_TRADABLE,0
ARWR,Health Care,NASDAQ,1
ARX,Financials,NYSE,1
ARYA,Unknown,NON_TRADABLE,0
ARYB,Unknown,NON_TRADABLE,0
ARYC,Unknown,NON_TRADABLE,0
ASA,Unknown,NYSE,1
ASAN,Information Technology,NYSE,1
ASAQ.,Unknown,NON_TRADABLE,0
ASB,Financials,NYSE,1
ASBB,Unknown,NON_TRADABLE,0
ASBC,Unknown,NON_TRADABLE,0
ASBI,Unknown,NON_TRADABLE,0
ASBP,Health Care,NASDAQ,1
ASCMA,Unknown,NON_TRADABLE,0
ASEI,Unknown,NON_TRADABLE,0
ASFI,Unknown,NON_TRADABLE,0
ASGN,Consumer Discretionary,NON_TRADABLE,0
ASH,Industrials,NYSE,1
ASIC,Financials,NYSE,1
ASIX,Materials,NYSE,1
ASLE,Industrials,NASDAQ,1
ASMB,Health Care,NASDAQ,1
ASNA,Unknown,NON_TRADABLE,0
ASNB,Unknown,NON_TRADABLE,0
ASNS,Information Technology,NON_TRADABLE,0
ASO,Consumer Discretionary,NASDAQ,1
ASPCU,Real Estate,NASDAQ,1
ASPI,Materials,NASDAQ,1
ASPN,Industrials,NYSE,1
ASPS,Consumer Discretionary,NASDAQ,1
ASPU,Unknown,OTC,1
ASPX,Unknown,NON_TRADABLE,0
ASRT,Health Care,NASDAQ,1
ASRV,Financials,NASDAQ,1
ASST,Financials,NASDAQ,1
AST,Unknown,NON_TRADABLE,0
ASTC,Health Care,NASDAQ,1
ASTE,Industrials,NASDAQ,1
ASTI,Information Technology,NASDAQ,1
ASTM,Unknown,NON_TRADABLE,0
ASTR,Unknown,NON_TRADABLE,0
ASTS,Communication Services,NASDAQ,1
ASTY,Unknown,NON_TRADABLE,0
ASUR,Information Technology,NASDAQ,1
