strategy,min_decile_score,min_alloc_fraction,max_alloc_fraction,w_score,w_price_edge,w_risk_quality,w_range_risk,w_sd_risk,w_vol_risk,w_mom_risk,raw_pred_mean4_cutoff,n_trades,return_pct,max_drawdown_pct,win_rate_pct,mean_trade_ret_pct,std_trade_ret_pct,sharpe_trade,sortino_trade,cvar5_trade_ret_pct,objective_val,avg_alloc_fraction,p95_alloc_fraction,max_alloc_fraction_realized,avg_sizing_signal
cfg_024,0.9,0.08,0.4,0.5,0.2,0.3,0.35,0.25,0.25,0.15,0.7129917140924689,560,3002.8122825642954,-7.059397671795309,60.357142857142854,3.4298093214285714,8.650017245038967,0.3965089576434851,0.9544041248513984,-11.685,2999.2825837283976,0.21530004029949734,0.30949749449045544,0.3278514712862263,0.42281262593592916
cfg_102,0.9,0.08,0.3,0.5,0.3,0.2,0.3,0.2,0.3,0.2,0.7129917140924689,589,2996.546226320148,-7.146853596254488,60.78098471986417,3.5315288760611203,8.6015516907259,0.4105688139814095,0.9871512723347156,-11.519449999999999,2992.9727995220205,0.1837402472092302,0.2567424978885047,0.26586856039586176,0.47154657822377366
cfg_051,0.9,0.05,0.35,0.55,0.25,0.2,0.3,0.2,0.3,0.2,0.7129917140924689,582,2977.5009770405945,-7.093489820227794,61.16838487972509,3.5735525910652917,8.659959423406429,0.41265234816303803,0.9861258888184873,-11.631566666666664,2973.9542321304807,0.18787600750381958,0.2899983974605656,0.3027544974527302,0.45958669167939853
cfg_134,0.9,0.08,0.3,0.45,0.35,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,586,2963.6042016117967,-7.1291163945816365,60.75085324232082,3.50092561774744,8.59495068719729,0.40732352577220543,0.9768888743077828,-11.519449999999999,2960.039643414506,0.18592384932238876,0.2563303338253755,0.27032852690110687,0.4814720423744945
cfg_027,0.9,0.05,0.35,0.6,0.2,0.2,0.3,0.2,0.3,0.2,0.7129917140924689,587,2949.2165662071516,-7.095080386488151,60.81771720613288,3.586123005110732,8.675894340413398,0.41334332397365925,0.9934326178924522,-11.631566666666664,2945.6690260139076,0.18459449460599645,0.2900144241707947,0.3020518670929217,0.4486483153533215
cfg_034,0.9,0.05,0.3,0.6,0.2,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,616,2949.1842563015184,-7.511792816616003,60.55194805194806,3.481845292207792,8.65288916544221,0.402391065647014,0.94525879411509,-11.939696774193546,2945.42835989321,0.16034350294679905,0.24963324239460546,0.26452584103355475,0.44137401178719626
cfg_032,0.9,0.08,0.4,0.6,0.2,0.2,0.3,0.2,0.3,0.2,0.7129917140924689,556,2943.657604595055,-7.155208977271088,61.15107913669065,3.557054884892086,8.660518637893071,0.41072077015441255,1.0003530744301627,-11.510014285714286,2940.0800001064194,0.22601521526789184,0.3362300339062593,0.3488553248991165,0.45629754771216186
cfg_052,0.9,0.05,0.4,0.55,0.25,0.2,0.3,0.2,0.3,0.2,0.7129917140924689,565,2942.3773950214586,-6.946233535379276,60.88495575221239,3.5766382513274326,8.657041531682225,0.41314786792208275,0.9921763233247147,-11.572886206896552,2938.904278253769,0.21245253286625732,0.3307658858393571,0.3448802470281853,0.4641500939035923
cfg_058,0.9,0.05,0.3,0.55,0.25,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,614,2941.1777513749985,-7.437575254819883,60.74918566775245,3.5253618892508136,8.632911239829259,0.408363041309404,0.9649173764851923,-11.794096774193546,2937.4589637475883,0.16314841844869596,0.24987395500751713,0.2651113663333952,0.4525936737947838
cfg_112,0.9,0.08,0.4,0.5,0.3,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,548,2936.071516375779,-7.089901257461017,61.131386861313864,3.4511445839416055,8.596941049290555,0.40143867035431213,0.9733261827933439,-11.510014285714286,2932.5265657470486,0.23337312759558732,0.33659753433299505,0.3560920212905416,0.4792910237362104
cfg_043,0.9,0.05,0.35,0.6,0.2,0.2,0.35,0.25,0.25,0.15,0.7129917140924689,588,2930.851454726445,-7.081241264163962,60.8843537414966,3.60835068707483,8.682834136144141,0.41557291438452154,0.9995901602444031,-11.631566666666664,2927.310834094363,0.1836124076950236,0.28961233013772686,0.2984310092402657,0.44537469231674537
cfg_048,0.9,0.08,0.4,0.6,0.2,0.2,0.35,0.25,0.25,0.15,0.7129917140924689,558,2921.3954902931346,-7.141787174678482,61.111111111111114,3.5305134695340494,8.674663566237795,0.40699140002097334,0.9809966512793099,-11.685,2917.8245967057956,0.22508701114335622,0.3356081164673431,0.34499307652295014,0.45339690982298825
cfg_004,0.9,0.05,0.4,0.5,0.2,0.3,0.3,0.2,0.3,0.2,0.7129917140924689,572,2913.614209176195,-7.135156585247948,60.83916083916085,3.5152980979020976,8.602883194350378,0.408618601285978,0.9767653670234934,-11.572886206896552,2910.0466308835707,0.19871383358590541,0.3042222629999357,0.32264865077082583,0.4248966673883011
cfg_108,0.9,0.05,0.4,0.5,0.3,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,559,2912.950930767799,-6.913392966747489,61.35957066189624,3.5774642576028617,8.53476806401082,0.4191636176603576,1.0163538649842212,-11.334507142857143,2909.494234284425,0.21666855696516613,0.3303809423722654,0.3519756482865299,0.4761958770433317
cfg_136,0.9,0.08,0.4,0.45,0.35,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,542,2911.3002864384434,-7.076498869300963,61.07011070110702,3.4679004354243537,8.575485683813026,0.4043969710042566,0.9784819691329762,-11.427807142857143,2907.762037003793,0.23745178614147708,0.3368759038771062,0.3568414936743374,0.49203683169211565
cfg_012,0.9,0.05,0.4,0.5,0.2,0.3,0.25,0.2,0.4,0.15,0.7129917140924689,569,2899.351990414573,-7.141272000457056,61.15992970123023,3.5398599507908606,8.599911880060342,0.4116158398085845,0.9794632577384125,-11.572886206896552,2895.781354414344,0.19918703992930464,0.3017517028033865,0.33206214952867785,0.42624868551229894
cfg_104,0.9,0.08,0.4,0.5,0.3,0.2,0.3,0.2,0.3,0.2,0.7129917140924689,548,2897.8195805213904,-7.052204493598113,61.31386861313869,3.455352248175182,8.59511314617822,0.40201358486032146,0.9745163033716171,-11.510014285714286,2894.2934782745915,0.2336748990830304,0.33746638953827074,0.350354269666708,0.4802340596344699
cfg_020,0.9,0.05,0.4,0.5,0.2,0.3,0.35,0.25,0.25,0.15,0.7129917140924689,571,2897.5495931209975,-7.110971153958589,60.94570928196147,3.5263236637478106,8.59012958269137,0.4105087856710748,0.9755485077362781,-11.572886206896552,2893.9941075440183,0.19680044367854374,0.30087299763188224,0.32108754671931006,0.4194298390815535
cfg_143,0.9,0.08,0.35,0.45,0.35,0.2,0.35,0.25,0.25,0.15,0.7129917140924689,559,2893.8606049037885,-7.0374533513526405,60.46511627906976,3.3896066690518776,8.59100749803299,0.3945528705251354,0.9430910586195488,-11.685,2890.3418782281124,0.20986191300322554,0.2962408644276392,0.30548501028772207,0.4809700481600946
cfg_107,0.9,0.05,0.35,0.5,0.3,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,578,2886.896991560475,-7.097919972505673,61.0726643598616,3.5739898062283735,8.592373360404087,0.41594908139097597,0.9972036131143909,-11.572886206896552,2883.348031574222,0.19129155407097412,0.2900426055849015,0.3088362699598827,0.47097184690324706
cfg_026,0.9,0.05,0.3,0.6,0.2,0.2,0.3,0.2,0.3,0.2,0.7129917140924689,615,2874.8955527462067,-7.525720358481736,60.48780487804878,3.4796660162601625,8.659689955564515,0.40182339484616425,0.9447463718362421,-11.939696774193546,2871.132692566966,0.16036599611642333,0.25000515148956953,0.2600432225774348,0.44146398446569335
cfg_050,0.9,0.05,0.3,0.55,0.25,0.2,0.3,0.2,0.3,0.2,0.7129917140924689,614,2868.9294453360826,-7.451641659126407,60.74918566775245,3.5253618892508136,8.632911239829259,0.408363041309404,0.9649173764851923,-11.794096774193546,2865.203624506519,0.1631492625829371,0.25023933932479914,0.2606287478772752,0.45259705033174835
cfg_028,0.9,0.05,0.4,0.6,0.2,0.2,0.3,0.2,0.3,0.2,0.7129917140924689,568,2864.297357591969,-6.969799113178099,60.2112676056338,3.503224845070422,8.654571630342453,0.40478315908650037,0.979063853697899,-11.572886206896552,2860.81245803538,0.20925547827674876,0.33001562618502767,0.34406051160840867,0.45501565221928225
cfg_014,0.9,0.08,0.3,0.5,0.2,0.3,0.25,0.2,0.4,0.15,0.7129917140924689,599,2862.4079041494037,-7.328469499269374,60.76794657762938,3.5179772954924875,8.62779027866586,0.4077495142865808,0.9648470137240404,-11.742790000000001,2858.7436693997693,0.17297898801528572,0.23817051947208864,0.2572962082751689,0.42263176370584415
cfg_132,0.9,0.05,0.4,0.45,0.35,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,560,2862.0271232704813,-6.923848996902637,61.42857142857143,3.5862130714285714,8.549048980971826,0.4194867849524127,1.0180293341667144,-11.334507142857143,2858.56519877203,0.22035971525751985,0.33071425083817774,0.3527953837063065,0.4867420435929138
cfg_072,0.9,0.08,0.4,0.55,0.25,0.2,0.35,0.25,0.25,0.15,0.7129917140924689,550,2851.9433448836976,-7.089216381273,61.272727272727266,3.4929815054545448,8.625429756305707,0.4049631849243182,0.9830982341050974,-11.510014285714286,2848.398736693061,0.22906057674699423,0.33594014626931284,0.3457425489067459,0.46581430233435683
