strategy,pred_threshold,vol_q,lr_q,val_objective,test_objective,test_return_pct,test_max_dd_pct,test_sortino,test_n_trades
baseline,0.9,,,7156.289181640821,1073.7878454823158,1079.1510500706656,-10.726409176699757,0.7517650154387292,397
vol_cap,0.9,0.7,,744.6482752756527,206.76035119952567,212.75411653631178,-11.987530673572222,0.5094053639243994,286
vol_and_lossrate_cap,0.9,0.7,0.7,311.4577791710392,156.86451120059672,160.27453206840954,-6.820041735625615,0.5353331200325779,233
vol_and_lossrate_cap,0.9,0.7,0.8,399.81301573592606,130.09846271219087,137.0713998814977,-13.945874338613695,0.4518078715808812,262
vol_and_lossrate_cap,0.9,0.7,0.9,547.2357703112301,158.158775791922,165.13171296122886,-13.945874338613685,0.4919114708383956,274
vol_cap,0.9,0.8,,1035.713704436032,251.14048331297454,255.9291990268072,-9.577431427665307,0.4979324818582127,301
vol_and_lossrate_cap,0.9,0.8,0.7,473.81716731011744,178.58473234507574,184.32205471558643,-11.474644741021367,0.5119012804784108,257
vol_and_lossrate_cap,0.9,0.8,0.8,602.6825697541399,170.2948065387676,179.87327856979198,-19.15694406204873,0.4576103334383372,285
vol_and_lossrate_cap,0.9,0.8,0.9,805.7034205858257,184.17546121008064,191.55392569065833,-14.756928961155369,0.48624697735816863,294
vol_cap,0.9,0.9,,1416.4417018655297,275.3155580535282,281.31822449082205,-12.00533287458767,0.47356699642066175,332
vol_and_lossrate_cap,0.9,0.9,0.7,531.815386824291,221.6002036890768,225.90253214958568,-8.604656921017762,0.46987333733258535,275
vol_and_lossrate_cap,0.9,0.9,0.8,794.6113717965161,188.47577889971106,196.76943189324842,-16.587305987074718,0.40128891520821647,311
vol_and_lossrate_cap,0.9,0.9,0.9,1084.5850915672083,209.29136627634077,217.58501926987813,-16.587305987074707,0.4507078634025858,314
